undetermined read_count	1492309
KGNG-CVU078-KWJ-2023-MSMT-1	2484	750168	0.0002
KGNG-CVU072-EAA-2023-MSMT-1	2834	855868	0.0002
KGNG-CVU070-AIE-2023-MSMT-1	3050	921100	0.0002
KGNG-CVU067-PMN-2023-MSMT-1	3235	976970	0.0002
KGNG-CVU065-NJM-2023-MSMT-1	2602	785804	0.0002
KGNG-CVU064-AEF-2023-MSMT-1	2411	728122	0.0002
KGNG-CVU051-AAJ-2023-MSMT-1	2530	764060	0.0002
KGNG-CVU044-AIR-2023-MSMT-1	3445	1040390	0.0002
KGNG-CVU042-EKJ-2023-MSMT-1	2364	713928	0.0002
KGNG-CVU035-RGB-2023-MSMT-1	2992	903584	0.0002
KGNG-CVU019-MGO-2023-MSMT-1	2304	695808	0.0002
KGNG-CVU017-NAH-2023-MSMT-1	2543	767986	0.0002
KGKY-RWB128-SSG-2023-MSMT-1	3659	1105018	0.0002
KGKY-RWB122-FKP-2023-MSMT-1	3287	992674	0.0002
KGKY-RWB118-JAM-2023-MSMT-1	2826	853452	0.0002
KGKY-RWB103-CCK-2023-MSMT-1	2377	717854	0.0002
KGKY-RWB101-ATM-2023-MSMT-1	3536	1067872	0.0002
KGKY-RWB092-ASE-2023-MSMT-1	2673	807246	0.0002
KGKY-RWB074-ARP-2023-MSMT-1	2507	757114	0.0002
KGKY-RWB049-ZAS-2023-MSMT-1	2828	854056	0.0002
KGKY-RWB033-JWK-2023-MSMT-1	2466	744732	0.0002
KGKY-RWB028-CJR-2023-MSMT-1	3226	974252	0.0002
KGKY-RWB026-MGP-2023-MSMT-1	2464	744128	0.0002
KGKY-RWB014-EJS-2023-MSMT-1	2306	696412	0.0002
KGKY-RWB-239-MMA-2023-MSMT-1	3630	1096260	0.0002
KGKY-RWB-236-MTM-2023-MSMT-1	3531	1066362	0.0002
KGKY-RWB-227-TBC-2023-MSMT-1	3151	951602	0.0002
KGKY-RWB-203-RFJ-2023-MSMT-1	2875	868250	0.0002
KGKY-RWB-179-JJM-2023-MSMT-1	2269	685238	0.0002
KGKY-RWB-076-ART-2023-MSMT-1	2336	705472	0.0002
KGKY-RWB-012-ARS-2023-MSMT-1	2936	886672	0.0002
KGKY-RUG-141-VMA-2023-MSMT-1	3582	1081764	0.0002
KGKY-RUG-137-FNA-2023-MSMT-1	2434	735068	0.0002
KGKY-RUG-114-CSP-2023-MSMT-1	3518	1062436	0.0002
KGKY-RUG-111-OKS-2023-MSMT-1	2967	896034	0.0002
KGKY-RUG-107-NNP-2023-MSMT-1	2276	687352	0.0002
KGKY-RUG-106-JNP-2023-MSMT-1	2491	752282	0.0002
KGKY-RUG-091-NSM-2023-MSMT-1	2285	690070	0.0002
KGKY-RUG-073-DEM-2023-MSMT-1	2336	705472	0.0002
KGKY-RUG-072-JJJ-2023-MSMT-1	2527	763154	0.0002
KGKY-RUG-068-NSS-2023-MSMT-1	2516	759832	0.0002
KGKY-RUG-067-FNA-2023-MSMT-1	2759	833218	0.0002
KGKY-RUG-060-RPC-2023-MSMT-1	2620	791240	0.0002
KGKY-RUG-050-EGN-2023-MSMT-1	2816	850432	0.0002
KGKY-RUG-046-AAA-2023-MSMT-1	2752	831104	0.0002
KGKY-RUG-036-LLK-2023-MSMT-1	2524	762248	0.0002
KGKY-RUG-029-FSA-2023-MSMT-1	2962	894524	0.0002
KGKY-RUG-026-AAA-2023-MSMT-1	3201	966702	0.0002
KGKY-RUG-014-SAA-2023-MSMT-1	3683	1112266	0.0002
KGKAYRWB-174-MF-2023-MSMT-1	3594	1085388	0.0002
KGKA-RWB136-PSD-2023-MSMT-1	2626	793052	0.0002
KGKA-BKG236-LTW-2023-MSMT-1	2499	754698	0.0002
KGKA-BKG233-CPK-2023-MSMT-1	2259	682218	0.0002
KGKA-BKG232-HMM-2023-MSMT-1	2470	745940	0.0002
KGKA-BKG224-VRM-2023-MSMT-1	2438	736276	0.0002
KGKA-BKG187-MEF-2023-MSMT-1	3170	957340	0.0002
KGKA-BKG-176-MKW-2023-MSMT-1	3120	942240	0.0002
KGKA-BKG-174-MJM-2023-MSMT-1	3042	918684	0.0002
KGKA-BKG-163-DYI-2023-MSMT-1	2325	702150	0.0002
KGKA-BKG-161-DFZ-2023-MSMT-1	2452	740504	0.0002
KGKA-BKG-157-ONO-2023-MSMT-1	2832	855264	0.0002
KGKA-BKG-149-CCG-2023-MSMT-1	3013	909926	0.0002
KGKA-BKG-145-ANR-2023-MSMT-1	3060	924120	0.0002
KGKA-BKG-143-MAK-2023-MSMT-1	2649	799998	0.0002
KGKA-BKG-138-AEJ-2023-MSMT-1	3624	1094448	0.0002
KGKA-BKG-123-DFD-2023-MSMT-1	3667	1107434	0.0002
KGKA-BKG-120-NKL-2023-MSMT-1	2441	737182	0.0002
KGKA-BKG-110-EKA-2023-MSMT-1	2411	728122	0.0002
KGKA-BKG-109-RRV-2023-MSMT-1	2264	683728	0.0002
KGKA-BKG-091-EAD-2023-MSMT-1	2497	754094	0.0002
KGKA-BKG-090-AZG-2023-MSMT-1	3242	979084	0.0002
KGKA-BKG-089-AAS-2023-MSMT-1	2814	849828	0.0002
KGKA-BKG-075-AMS-2023-MSMT-1	2448	739296	0.0002
KGKA-BKG-068-LAA-2023-MSMT-1	2559	772818	0.0002
KGKA-BKG-064-AMA-2023-MSMT-1	3710	1120420	0.0002
KGKA-BKG-062-DRT-2023-MSMT-1	2694	813588	0.0002
KGKA-BKG-056-LBS-2023-MSMT-1	2411	728122	0.0002
KGKA-BKG-046-ABV-2023-MSMT-1	3553	1073006	0.0002
KGKA-BKG-033-AAJ-2023-MSMT-1	2974	898148	0.0002
KGKA-BKG-018-EEE-2023-MSMT-1	2436	735672	0.0002
KGKA-BKG-016-OOK-2023-MSMT-1	2545	768590	0.0002
KGKA-BKG-013-RRV-2023-MSMT-1	2486	750772	0.0002
KGKA-BKG-001-APJ-2023-MSMT-1	2661	803622	0.0002
KGBR-BUT295-JJB-2023-MSMT-1	2273	686446	0.0002
KGBR-BUT272-MME-2023-MSMT-1	2738	826876	0.0002
KGBR-BUT271-EBE-2023-MSMT-1	2672	806944	0.0002
KGBR-BUT266-BNI-2023-MSMT-1	3127	944354	0.0002
KGBR-BUT259-JWE-2023-MSMT-1	2526	762852	0.0002
KGBR-BUT258-EEP-2023-MSMT-1	2635	795770	0.0002
KGBR-BUT255-MKE-2023-MSMT-1	2375	717250	0.0002
KGBR-BUT251-AMA-2023-MSMT-1	2648	799696	0.0002
KGBR-BUT250-EFM-2023-MSMT-1	2349	709398	0.0002
KGBR-BUT237-NJD-2023-MSMT-1	2625	792750	0.0002
KGBR-BUT233-RBB-2023-MSMT-1	2635	795770	0.0002
KGBR-BUT230-VAP-2023-MSMT-1	3569	1077838	0.0002
KGBR-BUT227-RJF-2023-MSMT-1	2492	752584	0.0002
KGBR-BUT222-MAA-2023-MSMT-1	2268	684936	0.0002
KGBR-BUT206-MAB-2023-MSMT-1	2304	695808	0.0002
KGBR-BUT202-EAE-2023-MSMT-1	3686	1113172	0.0002
KGBR-BUT196-AMS-2023-MSMT-1	2433	734766	0.0002
KGBR-BUT193-JBJ-2023-MSMT-1	3434	1037068	0.0002
KGBR-BUT188-PFB-2023-MSMT-1	2371	716042	0.0002
KGBR-BUT187-FAJ-2023-MSMT-1	3148	950696	0.0002
KGBR-BUT181-ERE-2023-MSMT-1	2381	719062	0.0002
KGBR-BUT176-AAS-2023-MSMT-1	3664	1106528	0.0002
KGBR-BUT168-RBA-2023-MSMT-1	2577	778254	0.0002
KGBR-BUT163-ENE-2023-MSMT-1	2833	855566	0.0002
KGBR-BUT159-BRR-2023-MSMT-1	2272	686144	0.0002
KGBR-BUT147-AKO-2023-MSMT-1	3292	994184	0.0002
KGBR-BUT145-ESJ-2023-MSMT-1	2444	738088	0.0002
KGBR-BUT135-EEA-2023-MSMT-1	2546	768892	0.0002
KGBR-BUT127-JAJ-2023-MSMT-1	2887	871874	0.0002
KGBR-BUT1203-AKR-2023-MSMT-1	3532	1066664	0.0002
KGBR-BUT119-MSN-2023-MSMT-1	2425	732350	0.0002
KGBR-BUT118-FKE-2023-MSMT-1	2566	774932	0.0002
KGBR-BUT105-EME-2023-MSMT-1	2675	807850	0.0002
KGBR-BUT084-CKS-2023-MSMT-1	3673	1109246	0.0002
KGBR-BUT079-JRD-2023-MSMT-1	2245	677990	0.0002
KGBR-BUT078-JPD-2023-MSMT-1	3241	978782	0.0002
KGBR-BUT077-JAD-2023-MSMT-1	2243	677386	0.0002
KGBR-BUT055-LML-2023-MSMT-1	2873	867646	0.0002
KGBR-BUT050-HIY-2023-MSMT-1	3708	1119816	0.0002
KGBR-BUT045-IKH-2023-MSMT-1	2370	715740	0.0002
KGBR-BUT043-IMA-2023-MSMT-1	2992	903584	0.0002
KGBR-BUT038-AAH-2023-MSMT-1	2942	888484	0.0002
KGBR-BUT028-ALB-2023-MSMT-1	2395	723290	0.0002
KGBR-BUT027-RKK-2023-MSMT-1	3372	1018344	0.0002
KGBR-BUT005-VTF-2023-MSMT-1	2920	881840	0.0002
KGBR-BUT001-RLC-2023-MSMT-1	2718	820836	0.0002
KGBI-KZB-037-MIM-2023-MSMT-1	3154	952508	0.0002
KGBI-KZB-032-RLB-2023-MSMT-1	3182	960964	0.0002
KGBI-KZB-026-JKT-2023-MSMT-1	2893	873686	0.0002
KGBI-KZB-006-EBE-2023-MSMT-1	2693	813286	0.0002
GKY-RUG-074-NME-2023-MSMT-1	2481	749262	0.0002
-KGBR-BUT292-AMD-2023-MSMT-1	2658	802716	0.0002
negative-extract-control-2023-MSMT-7	1811	546922	0.0001
negative-extract-control-2023-MSMT-5	1989	600678	0.0001
negative-extract-control-2023-MSMT-3	1549	467798	0.0001
KGNG-CVU158-FFS-2023-MSMT-1	1899	573498	0.0001
KGNG-CVU152-FEF-2023-MSMT-1	2061	622422	0.0001
KGNG-CVU150-SSM-2023-MSMT-1	2076	626952	0.0001
KGNG-CVU135-BGP-2023-MSMT-1	2080	628160	0.0001
KGNG-CVU127-ECL-2023-MSMT-1	2027	612154	0.0001
KGNG-CVU122-JNI-2023-MSMT-1	1795	542090	0.0001
KGNG-CVU115-HNI-2023-MSMT-1	2057	621214	0.0001
KGNG-CVU112-ERO-2023-MSMT-1	2178	657756	0.0001
KGNG-CVU103-ENN-2023-MSMT-1	1732	523064	0.0001
KGNG-CVU087-FFF-2023-MSMT-1	1730	522460	0.0001
KGNG-CVU071-KOK-2023-MSMT-1	2045	617590	0.0001
KGNG-CVU059-SES-2023-MSMT-1	1889	570478	0.0001
KGNG-CVU055-MJE-2023-MSMT-1	1415	427330	0.0001
KGNG-CVU054-EMV-2023-MSMT-1	1831	552962	0.0001
KGNG-CVU053AMO-2023-MSMT-1	1466	442732	0.0001
KGNG-CVU052-ODD-2023-MSMT-1	2066	623932	0.0001
KGNG-CVU034-JSP-2023-MSMT-1	1926	581652	0.0001
KGNG-CVU018-RAN-2023-MSMT-1	1566	472932	0.0001
KGNG-CVU012-FYS-2023-MSMT-1	1695	511890	0.0001
KGNG-CVU006-RFF-2023-MSMT-1	2015	608530	0.0001
KGNG-CVU004-LBJ-2023-MSMT-1	1983	598866	0.0001
KGKY-RWB129-AYS-2023-MSMT-1	2047	618194	0.0001
KGKY-RWB115-ECB-2023-MSMT-1	1853	559606	0.0001
KGKY-RWB098-RLG-2023-MSMT-1	2043	616986	0.0001
KGKY-RWB082-AMA-2023-MSMT-1	1765	533030	0.0001
KGKY-RWB063-DLS-2023-MSMT-1	1807	545714	0.0001
KGKY-RWB058-EJK-2023-MSMT-1	2225	671950	0.0001
KGKY-RWB044-AJJ-2023-MSMT-1	2164	653528	0.0001
KGKY-RWB027-EBF-2023-MSMT-1	2008	606416	0.0001
KGKY-RWB-295-FBM-2023-MSMT-1	1908	576216	0.0001
KGKY-RWB-287-CBA-2023-MSMT-1	1810	546620	0.0001
KGKY-RWB-286-ZBF-2023-MSMT-1	1946	587692	0.0001
KGKY-RWB-223-GGK-2023-MSMT-1	2226	672252	0.0001
KGKY-RWB-222-OAC-2023-MSMT-1	2103	635106	0.0001
KGKY-RWB-220-SKZ-2023-MSMT-1	1943	586786	0.0001
KGKY-RWB-178-JJK-2023-MSMT-1	2030	613060	0.0001
KGKY-RWB-168-VRP-2023-MSMT-1	2184	659568	0.0001
KGKY-RUG-129-FKJ-2023-MSMT-1	2144	647488	0.0001
KGKY-RUG-118-LLF-2023-MSMT-1	1972	595544	0.0001
KGKY-RUG-089-ASM-2023-MSMT-1	2120	640240	0.0001
KGKY-RUG-084-AMR-2023-MSMT-1	2143	647186	0.0001
KGKY-RUG-078-DLE-2023-MSMT-1	2084	629368	0.0001
KGKY-RUG-063-JJJ-2023-MSMT-1	2209	667118	0.0001
KGKY-RUG-051-JJK-2023-MSMT-1	2167	654434	0.0001
KGKY-RUG-044-RFC-2023-MSMT-1	1802	544204	0.0001
KGKY-RUG-028-LVB-2023-MSMT-1	2126	642052	0.0001
KGKY-RUG-025-SBA-2023-MSMT-1	2099	633898	0.0001
KGKY-RUG-021-AMJ-2023-MSMT-1	1930	582860	0.0001
KGKY-RUG-019-RIS-2023-MSMT-1	1586	478972	0.0001
KGKY-RUG-015-MRB-2023-MSMT-1	1834	553868	0.0001
KGKA-BKG231-AAI-2023-MSMT-1	948	286296	0.0001
KGKA-BKG229-VGD-2023-MSMT-1	1571	474442	0.0001
KGKA-BKG223-MMS-2023-MSMT-1	1627	491354	0.0001
KGKA-BKG214-ALJ-2023-MSMT-1	1586	478972	0.0001
KGKA-BKG212-LSP-2023-MSMT-1	1961	592222	0.0001
KGKA-BKG207-ABD-2023-MSMT-1	937	282974	0.0001
KGKA-BKG196-JSZ-2023-MSMT-1	1957	591014	0.0001
KGKA-BKG195-RTA-2023-MSMT-1	2107	636314	0.0001
KGKA-BKG185-APK-2023-MSMT-1	1688	509776	0.0001
KGKA-BKG180-RRA-2023-MSMT-1	1728	521856	0.0001
KGKA-BKG-177-DMW-2023-MSMT-1	1644	496488	0.0001
KGKA-BKG-164-AYI-2023-MSMT-1	2062	622724	0.0001
KGKA-BKG-061-NRT-2023-MSMT-1	2029	612758	0.0001
KGKA-BKG-040-HMB-2023-MSMT-1	2039	615778	0.0001
KGBR-BUT310-EKW-2023-MSMT-1	1792	541184	0.0001
KGBR-BUT306-RAJ-2023-MSMT-1	2229	673158	0.0001
KGBR-BUT304-SON-2023-MSMT-1	2000	604000	0.0001
KGBR-BUT301-SMT-2023-MSMT-1	2195	662890	0.0001
KGBR-BUT298-EKC-2023-MSMT-1	2010	607020	0.0001
KGBR-BUT296-GNP-2023-MSMT-1	1925	581350	0.0001
KGBR-BUT285-JJM-2023-MSMT-1	1986	599772	0.0001
KGBR-BUT279-AAA-2023-MSMT-1	1603	484106	0.0001
KGBR-BUT278-AMA-2023-MSMT-1	1258	379916	0.0001
KGBR-BUT277-RTP-2023-MSMT-1	2059	621818	0.0001
KGBR-BUT270-EDG-2023-MSMT-1	2186	660172	0.0001
KGBR-BUT257-AAM-2023-MSMT-1	2080	628160	0.0001
KGBR-BUT248-MMD-2023-MSMT-1	1987	600074	0.0001
KGBR-BUT226-EMS-2023-MSMT-1	2196	663192	0.0001
KGBR-BUT224-DDJ-2023-MSMT-1	2171	655642	0.0001
KGBR-BUT214-JAG-2023-MSMT-1	1936	584672	0.0001
KGBR-BUT183-AJS-2023-MSMT-1	1450	437900	0.0001
KGBR-BUT182-LVT-2023-MSMT-1	1583	478066	0.0001
KGBR-BUT171-ART-2023-MSMT-1	2142	646884	0.0001
KGBR-BUT164-JAE-2023-MSMT-1	1943	586786	0.0001
KGBR-BUT152-DAD-2023-MSMT-1	1896	572592	0.0001
KGBR-BUT151-DKN-2023-MSMT-1	2167	654434	0.0001
KGBR-BUT142-FAG-2023-MSMT-1	1777	536654	0.0001
KGBR-BUT133-EEJ-2023-MSMT-1	2134	644468	0.0001
KGBR-BUT131-MKR-2023-MSMT-1	1963	592826	0.0001
KGBR-BUT124-BAP-2023-MSMT-1	1967	594034	0.0001
KGBR-BUT114-KPB-2023-MSMT-1	2001	604302	0.0001
KGBR-BUT096-LKL-2023-MSMT-1	2108	636616	0.0001
KGBR-BUT093-DAJ-2023-MSMT-1	1472	444544	0.0001
KGBR-BUT091-SNS-2023-MSMT-1	1796	542392	0.0001
KGBR-BUT090-BMS-2023-MSMT-1	2171	655642	0.0001
KGBR-BUT088-AMP-2023-MSMT-1	2217	669534	0.0001
KGBR-BUT074-DAM-2023-MSMT-1	2093	632086	0.0001
KGBR-BUT069-DKW-2023-MSMT-1	1279	386258	0.0001
KGBR-BUT052-AGE-2023-MSMT-1	1643	496186	0.0001
KGBR-BUT048-DMW-2023-MSMT-1	1903	574706	0.0001
KGBR-BUT040-DAC-2023-MSMT-1	1794	541788	0.0001
KGBR-BUT038-AAH-2023-MSMT-2	2229	673158	0.0001
KGBR-BUT022-JRW-2023-MSMT-1	2138	645676	0.0001
KGBR-BUT021-DKJ-2023-MSMT-1	1792	541184	0.0001
KGBR-BUT008-AAA-2023-MSMT-1	1388	419176	0.0001
KGBR-BUT004-ESM-2023-MSMT-1	1558	470516	0.0001
KGBR-BUT003-SSM-2023-MSMT-1	1651	498602	0.0001
KGBI-KZB-004-SGM-2023-MSMT-1	765	231030	0.0001
KGBI-KZB-003-SEL-2023-MSMT-1	1701	513702	0.0001
NTP-2023-MSMT-8	0	0	0.0
NTP-2023-MSMT-7	0	0	0.0
NTP-2023-MSMT-6	0	0	0.0
NTP-2023-MSMT-5	0	0	0.0
NTP-2023-MSMT-4	0	0	0.0
NTP-2023-MSMT-3	1	302	0.0
NTP-2023-MSMT-2	0	0	0.0
NTP-2023-MSMT-1	0	0	0.0
KGNG-CVU014-KON-2023-MSMT-1	82	24764	0.0
KGKY-RUG-032-AJC-2023-MSMT-1	1	302	0.0
KGKA-BKG230-RPK-2023-MSMT-1	218	65836	0.0
KGKA-BKG218-ESS-2023-MSMT-1	508	153416	0.0
KGKA-BKG179-PMK-2023-MSMT-1	226	68252	0.0
KGBR-BUT245-AKG-2023-MSMT-1	82	24764	0.0
KGBR-BUT153-HAZ-2023-MSMT-1	9	2718	0.0
